fish,date_end,notes,trial,tank
k23,10/9/13,x,10,3
j16,10/9/13,x,10,3
k98,10/9/13,x,10,3
k85,10/9/13,x,10,3
k99,10/9/13,x,10,3
k94,10/9/13,x,10,3
j19,10/9/13,x,10,3
k96,10/9/13,x,10,3
j95,10/9/13,x,10,3
l13,10/9/13,x,10,3
j15,10/9/13,x,10,3
j98,10/9/13,x,10,3
j12,10/9/13,x,10,3
j50,10/9/13,x,10,3
h94,10/9/13,x,10,3
k74,10/9/13,x,10,3
j73,10/9/13,x,10,3
l16,10/9/13,x,10,3
k24,10/9/13,x,10,3
k45,10/9/13,x,10,3
k80,10/9/13,x,10,3
j70,10/9/13,x,10,3
k10,10/9/13,x,10,3
j08,10/9/13,x,10,3
k60,10/9/13,x,10,3
k92,10/9/13,x,10,4
j66,10/9/13,x,10,4
k59,10/9/13,x,10,4
h87,10/9/13,x,10,4
j43,10/9/13,x,10,4
k69,10/9/13,x,10,4
j02,10/9/13,x,10,4
l04,10/9/13,x,10,4
k63,10/9/13,x,10,4
j79,10/9/13,x,10,4
h91,10/9/13,x,10,4
j94,10/9/13,x,10,4
k84,10/9/13,x,10,4
k89,10/9/13,x,10,4
h95,10/9/13,x,10,4
h92,10/9/13,x,10,4
h89,10/9/13,x,10,4
j18,10/9/13,x,10,4
k58,10/9/13,x,10,4
k96,10/9/13,x,10,4
j26,10/9/13,x,10,4
l10,10/9/13,x,10,4
k56,10/9/13,x,10,4
k18,10/9/13,x,10,4
